GAMESTATE,HASHCODE
898,-848490766
899,-1726947379
900,-1726947378
901,426168079
902,-848490763
903,426168079
904,-848490762
905,-1726947376
906,426168081
907,-848490761
908,426168081
909,-848492279
910,-1726948892
911,426166565
912,-848492277
913,426166565
914,-848492276
915,-2081563253
916,-1342004064
917,-848498420
918,-1726955033
919,426160424
920,-848498418
921,-1726955031
922,-1726955030
923,426160427
924,-1726955029
925,-848498414
926,-1726955028
927,-1726955028
928,426160428
929,426160428
930,1304617043
931,-1726955027
932,426160430
933,-848498412
934,-1726955025
935,426160432
936,-1726955024
937,426160433
938,-848498409
939,-1726955022
940,426160435
941,-1726955021
942,426160436
943,-1726953511
944,426160436
945,426161946
946,-1726953510
947,426161947
948,-848496895
949,426161947
950,-848496894
951,-848496893
952,1304618564
953,-848496892
954,-848495382
955,-1726951995
956,-1726951994
957,426163463
958,-848495379
959,-848495378
960,-1726951991
961,-1726951990
962,426163466
963,-848495376
964,-848495375
965,-1726951988
966,426163469
967,-848495373
968,-848495372
969,-1726951985
970,426163472
971,-1726951984
972,426163472
973,426163473
974,-848495369
975,426163473
976,-848495368
977,1304620089
978,-848495367
979,1304620089
980,-1726951980
981,426163477
982,-1726951979
983,-848495343
984,-1726951935
985,426163522
986,-848495320
987,-1726951933
988,426163524
989,-1726951932
990,426163525
991,-848495317
992,426163525
993,-848495316
994,1304620141
995,-848495315
996,1304620141
997,-848495314
998,-2081563255
999,-1342004066
1000,-848498422
1001,-1726955035
1002,-1726955034
1003,-1726955033
1004,426160424
1005,-1726955032
1006,426160425
1007,-848498417
1008,-1726955030
1009,-848498415
1010,-848498414
1011,-848498413
1012,-1726955026
1013,426160431
1014,-1726955025
1015,426160431
1016,-1726955024
1017,426160433
1018,-848498409
1019,-1726955022
1020,426160435
1021,-848498407
1022,-848498406
1023,-1726953510
1024,426161947
1025,-848496895
1026,426161947
1027,-848495385
1028,-848495384
1029,1304620072
1030,1304620072
1031,-1726951997
1032,426163460
1033,-848495382
1034,426163460
1035,-848495381
1036,-1726951994
1037,426163463
1038,-848495379
1039,426163463
1040,-1726951992
1041,426163465
1042,-848495377
1043,-848495376
1044,-848495375
1045,-848495374
1046,-848495373
1047,-848495351
1048,-848495350
1049,-848495349
1050,-848495348
1051,-1726951961
1052,426163496
1053,-1726951960
1054,426163496
1055,426163497
1056,-1726951959
1057,426163497
1058,426163498
1059,-848495344
1060,426163498
1061,-848495343
1062,1304670066
1063,1798175710
1064,919719097
1065,919719098
1066,-1222132741
1067,919719100
1068,-1222132739
1069,1798175715
1070,-1222132739
1071,1798175716
1072,919719103
1073,-1222132736
1074,1798175718
1075,-1222132736
1076,-1222132733
1077,1798175721
1078,-1222132733
1079,919719108
1080,-1222132730
1081,-1222132730
1082,-1222132729
1083,-1222132729
1084,919719112
1085,919720622
1086,-1222131217
1087,1798177237
1088,-1222131217
1089,-343674602
1090,1798178747
1091,-343674602
1092,919722134
1093,-1222129705
1094,1798178749
1095,-1222129705
1096,919722136
1097,-1222129703
1098,919722137
1099,-1222129703
1100,-1222129702
1101,1798178752
1102,-1222129702
1103,1798178753
1104,919722140
1105,1798178755
1106,919722141
1107,919722141
1108,919722142
1109,-1222129697
1110,1798178757
1111,-1222129697
1112,919722144
1113,-1222129695
1114,1798178759
1115,-1222129695
1116,919722146
1117,-1222129693
1118,1798178761
1119,919722148
1120,-1222129691
1121,919722149
1122,1798178764
1123,919722172
1124,1798178787
1125,919722174
1126,-1222129665
1127,1798178810
1128,1798178811
1129,919722198
1130,-1222129641
1131,1798178813
1132,-1222129641
1133,1798178814
1134,919722201
1135,919722202
1136,-1222129637
1137,919722203
1138,-1222129637
1139,-2081555594
1140,-1341994860
1141,-1726945830
1142,-848489215
1143,-1726945828
1144,-848489213
1145,-848489214
1146,-848489213
1147,-848489212
1148,-1726945825
1149,426169632
1150,-848489210
1151,-1726945823
1152,-848489209
1153,-848489208
1154,-848489207
1155,-848489206
1156,-1726945820
1157,-848489205
1158,-848487695
1159,-1726944308
1160,426171149
1161,-848487693
1162,-1726944307
1163,-1726944307
1164,426171150
1165,-1726944306
1166,426171150
1167,-1726944305
1168,-848487690
1169,-1726944304
1170,426171153
1171,-1726944303
1172,-848487688
1173,-848487686
1174,-1726944299
1175,-1726944301
1176,426171156
1177,-848487686
1178,426171156
1179,-1726942790
1180,-1726942789
1181,426172668
1182,-848486174
1183,-848486173
1184,-848486172
1185,-848486171
1186,1304629286
1187,-848486170
1188,-848486141
1189,-1726942755
1190,-1726942755
1191,426172702
1192,-1726942754
1193,426172702
1194,-1726942753
1195,-848486138
1196,-1726942751
1197,-1726942750
1198,-848486114
1199,-848486113
1200,-848486112
1201,-848486111
1202,-1726942724
1203,426172733
1204,-848486109
1205,-848486138
1206,-1726942751
1207,426172706
1208,-1726942750
1209,426172706
1210,426172707
1211,-848486135
1212,-2081555585
1213,-1588049941
1214,-1588049911
1215,-1588049910
1216,-1588049909
1217,-848489175
1218,-848489174
1219,-848489173
1220,1304626284
1221,-1726945786
1222,1304626284
1223,426169671
1224,-1726945785
1225,-848489170
1226,-1726945783
1227,426169674
1228,-1726945782
1229,-848489167
1230,1304626290
1231,-1726945781
1232,-1726945781
1233,426169676
1234,-848489166
1235,-848489196
1236,-848489195
1237,-1726945808
1238,-1726945807
1239,-848487683
1240,1304627774
1241,-1726944296
1242,426171161
1243,-848487681
1244,1304627776
1245,-848487680
1246,1304627776
1247,-1726944293
1248,426171164
1249,-1726944292
1250,426171164
1251,-848487677
1252,-848487647
1253,-848487646
1254,-1726942750
1255,-1726942749
1256,426172707
1257,426172707
1258,-1726942748
1259,426172709
1260,-1726942747
1261,426172710
1262,-1726942746
1263,426172710
1264,426172711
1265,-848486131
1266,-1726942744
1267,-1726942747
1268,426172710
1269,-1726942746
1270,426172710
1271,426172711
1272,-848486131
1273,426172711
1274,-848486130
1275,-1726942743
1276,-1726942742
1277,-848486127
1278,-848486157
1279,-848486156
1280,-848486134
1281,-848486133
1282,-1726942746
1283,-1726942724
1284,-848486109
1285,-848486108
1286,-848486107
1287,-1726942720
1288,426172737
1289,-848486105
1290,426172737
1291,-1726955031
1292,426160426
1293,-848498416
1294,426160426
1295,-1726955026
1296,-848498411
1297,1304617046
1298,1304617046
1299,-1726955022
1300,426160435
1301,-848498407
1302,426160435
1303,-1726955020
1304,426160437
1305,-848496896
1306,426160437
1307,-848496895
1308,-848496894
1309,1304618563
1310,-1726953507
1311,1304618563
1312,426161950
