GAME|UUID|STARTTIME|NEXTSTATINDEX|CURRENTSTATE|OURSEASON|THEIRSEASON|TAKESTATSNOWEVENT
232|0476562a-e08a-4c60-a8e5-41312356250f||186|11655|49|55|0
233|fc9ed925-8130-4a24-8095-754a3c16d1c4||180|12289|49|55|0
234|a4c8f69a-964e-4c06-b143-a87d028c8f54||222|12326|49|55|0
235|7fe8ce60-8f1f-4741-a5ef-a11919a00b14||119|12337|49|57|0
236|6a2c958b-a6f9-4db7-816b-78d998f9fc4a||155|12354|49|57|0
237|f4f4bc87-06db-4c8f-b242-a4242fbe61b8||171|11891|49|58|0
238|1652a1d6-64c6-4f52-83dd-cc449aff2fb5||168|12449|49|58|0
239|b31dccbe-18f5-4044-85ce-10587ce24ee7||226|4309|49|59|0
240|5f1f88cd-37bd-40d5-9950-071390be8da0||186|12492|49|59|0
241|5ca90a20-abfd-400f-8301-9da65c207a25||123|12533|49|55|0
242|23c84058-3f87-4505-89e9-f1286e75dbb2||174|12561|49|55|0
243|60c6ffc7-1ba9-4e0d-92aa-132e04d7cf8b||151|2569|49|51|0
244|0b014363-c158-44b6-87aa-a44d75e4e185||155|12605|49|60|0
245|6f0a55dd-e301-4f51-a8c5-e4e871f8fa8e||195|12354|49|61|0
246|78069cbf-be5f-4b06-a28d-3d83ea837f16||189|12288|49|61|0
247|6ae099bb-eb16-4289-bf20-b30e244e3176||220|11574|49|61|0
248|5374e5bb-01a0-441c-8cc3-639c67c06cd0||209|4297|49|61|0
249|badb3c46-99c2-4b35-8c69-9fba0f7fea36||223|3878|49|62|0
250|bcdad3a0-e9b6-4f53-bed0-d774b0654b06||198|12354|49|62|0
251|9129d855-c6c2-4c44-9c17-5a1c96810ba6||200|12561|49|62|0
252|4bdba64d-0c51-4353-b25c-92b690b310f7||205|12561|49|62|0
253|501df552-bccd-481d-a584-416187cc3dd8||115|5121|49|62|0
254|88a8681b-f5dc-4788-8c37-5dbad0f81a00||141|2569|49|53|0
255|32db2d5c-b81d-48d4-8561-089a8cc79237||192|12718|49|53|0
256|cec51a10-dea9-40b3-82a3-80c4b158d632||181|11655|49|63|0
257|5ebb3719-5aba-42e6-801a-cc1147b579fe||150|12743|49|63|0
258|a10e4a7f-ecef-416b-aced-b19d7a628c8b||115|11635|49|64|0
259|32bc76bf-8a99-4f68-a7bc-39bb32d812c6||117|11891|49|53|0
260|6f018dd7-92e0-4994-9860-93f57ac62628||133|5142|49|53|0
261|9d2f136c-9c49-4ce8-9eaf-916d994d6a70||144|11757|49|65|0
262|495882d2-da61-45ec-b9a4-962832cbdef3||142|5142|49|65|0
263|af84827c-f5a3-4bfe-a7d7-d830c54e5e2b||185|12743|49|63|0
