EVENTGROUPINGATTRIBUTE|VALUE|NAME
146|1430798400000|Start Date
146|1430870308000|Start Time
147|FC|Location
147|1430798400000|Start Date
147|1430871823000|Start Time
148|FC|Location
148|1430798400000|Start Date
148|1430873440000|Start Time
149|FC|Location
149|1430798400000|Start Date
149|1430874701000|Start Time
150|Bethel Park|Location
150|1431057600000|Start Date
150|Bethel Park |opponent
151|Bethel Park|Location
151|1431057600000|Start Date
151|1431124319000|Start Time
152|Bethel Park|Location
152|1431057600000|Start Date
152|1431125696000|Start Time
153|Bethel Park|Location
153|1431057600000|Start Date
153|1431127087000|Start Time
154|Bethel Park|Location
154|1431057600000|Start Date
154|1431128568000|Start Time
155|FC|Location
155|1431576000000|Start Date
155|USC|opponent
156|FC|Location
156|1431576000000|Start Date
156|1431648272000|Start Time
157|FC|Location
157|1431576000000|Start Date
157|1431649420000|Start Time
158|FC|Location
158|1431576000000|Start Date
158|1431650618000|Start Time
159|Hampton|Location
159|1432008000000|Start Date
159|Plum|opponent
160|Hampton|Location
160|1432008000000|Start Date
160|1432079677000|Start Time
161|Hampton|Location
161|1432008000000|Start Date
161|1432080807000|Start Time
162|Hampton|Location
162|1432008000000|Start Date
162|1432082259000|Start Time
163|Hampton|Location
163|1432008000000|Start Date
163|1432083814000|Start Time
164|Hampton|Location
164|1432008000000|Start Date
164|1432085245000|Start Time
165|Baldwin|Location
165|1432267200000|Start Date
165|Seneca Valley|opponent
166|Baldwin|Location
166|1432267200000|Start Date
166|1432340965000|Start Time
167|Baldwin|Location
167|1432267200000|Start Date
167|1432342248000|Start Time
168|Baldwin|Location
168|1432267200000|Start Date
168|1432343551000|Start Time
169|Baldwin|Location
169|1432267200000|Start Date
169|1432345010000|Start Time
172|Norwin|Location
172|1432699200000|Start Date
172|Central Dauphin|opponent
173|Norwin|Location
173|1432699200000|Start Date
173|1432763799000|Start Time
174|Norwin|Location
174|1432699200000|Start Date
174|1432765450000|Start Time
176|Norwin|Location
176|1432699200000|Start Date
176|1432766907000|Start Time
177|NA|Location
177|1432958400000|Start Date
177|Bethel Park |opponent
178|NA|Location
178|1432958400000|Start Date
178|1433001751000|Start Time
179|NA|Location
179|1432958400000|Start Date
179|1433003329000|Start Time
180|NA|Location
180|1432958400000|Start Date
180|1433004621000|Start Time
181|NA|Location
181|1432958400000|Start Date
181|1433006002000|Start Time
182|NA|Location
182|1432958400000|Start Date
182|1433007386000|Start Time
183|NA|Location
183|1433217600000|Start Date
183|Seneca Valley|opponent
184|NA|Location
184|1433217600000|Start Date
184|1433285975000|Start Time
185|NA|Location
185|1433217600000|Start Date
185|1433287669000|Start Time
186|NA|Location
186|1433217600000|Start Date
186|1433288972000|Start Time
187|NA|Location
187|1433217600000|Start Date
187|1433290838000|Start Time
188|NA|Location
188|1433217600000|Start Date
188|1433292422000|Start Time
189|Penn State|Location
189|1433563200000|Start Date
189|Parkland|opponent
190|Penn State|Location
190|1433563200000|Start Date
190|1433608064000|Start Time
191|Penn State|Location
191|1433563200000|Start Date
191|1433611393000|Start Time
192|Penn State|Location
192|1433563200000|Start Date
192|1433612786000|Start Time
193|Penn State|Location
193|1433563200000|Start Date
193|1433614136000|Start Time
194|Cannon Mac|Location
194|Cannon Mac|Name
195|Cannon Mac|Location
195|1441425600000|Start Date
195|Beaver|opponent
196|Cannon Mac|Location
196|1441425600000|Start Date
196|1441459939000|Start Time
197|Cannon Mac|Location
197|1441425600000|Start Date
197|1441461356000|Start Time
198|Cannon Mac|Location
198|1441425600000|Start Date
198|Quaker Valley|opponent
199|Cannon Mac|Location
199|1441425600000|Start Date
199|1441468757000|Start Time
200|Cannon Mac|Location
200|1441425600000|Start Date
200|1441470522000|Start Time
201|Cannon Mac|Location
201|1441425600000|Start Date
201|Moon|opponent
202|Cannon Mac|Location
202|1441425600000|Start Date
202|1441478321000|Start Time
203|Cannon Mac|Location
203|1441425600000|Start Date
203|1441479667000|Start Time
204|Cannon Mac|Location
204|1441425600000|Start Date
204|Seton La Salle|opponent
205|Cannon Mac|Location
205|1441425600000|Start Date
205|1441484237000|Start Time
206|Cannon Mac|Location
206|1441425600000|Start Date
206|1441485699000|Start Time
207|Cannon Mac|Location
207|1441425600000|Start Date
207|Beaver|opponent
208|Cannon Mac|Location
208|1441425600000|Start Date
208|1441493595000|Start Time
209|Cannon Mac|Location
209|1441425600000|Start Date
209|Moon|opponent
210|Cannon Mac|Location
210|1441425600000|Start Date
210|1441495802000|Start Time
211|Woodland Hills|Location
211|1441684800000|Start Date
211|Woodland Hillls|opponent
212|Woodland Hills|Location
212|1441684800000|Start Date
212|1441739351000|Start Time
213|Woodland Hills|Location
213|1441684800000|Start Date
213|1441741960000|Start Time
214|Woodland Hills|Location
214|1441684800000|Start Date
214|Woodland Hillls|opponent
215|Woodland Hills|Location
215|1441684800000|Start Date
215|1441743327000|Start Time
216|Woodland Hills|Location
216|1441684800000|Start Date
216|1441745465000|Start Time
217|Woodland Hills|Location
217|1441684800000|Start Date
