STATDATA,PLAYER,NUMERICALDATA,TIME,STAT,DATAINDEX
387,3,,,467,0
388,3,,,469,0
389,3,,,472,0
390,2,,,473,0
391,4,,,474,0
392,7,,,475,0
393,2,,,477,0
394,3,,,478,0
395,2,,,479,0
396,5,,,481,0
397,,2,,481,1
398,4,,,482,0
399,2,,,484,0
400,3,,,485,0
401,,1,,485,1
402,4,,,488,0
403,3,,,489,0
404,11,,,490,0
405,2,,,492,0
406,4,,,493,0
407,3,,,494,0
408,5,,,496,0
409,,0,,496,1
410,2,,,500,0
411,7,,,501,0
412,11,,,501,1
413,2,,,503,0
414,3,,,504,0
417,1,,,508,0
418,2,,,510,0
419,2,,,511,0
422,3,,,514,0
423,5,,,516,0
424,,3,,516,1
425,7,,,517,0
426,2,,,519,0
427,7,,,520,0
428,7,,,521,0
429,,3,,521,1
430,1,,,522,0
431,2,,,524,0
432,7,,,525,0
433,3,,,526,0
434,5,,,530,0
435,7,,,531,0
436,3,,,532,0
437,2,,,533,0
438,7,,,534,0
439,,3,,534,1
440,4,,,535,0
441,2,,,537,0
442,7,,,538,0
443,,2,,538,1
444,4,,,539,0
445,2,,,541,0
446,1,,,542,0
447,2,,,543,0
448,2,,,544,0
449,4,,,544,1
450,1,,,546,0
451,2,,,547,0
452,1,,,548,0
453,,3,,548,1
454,3,,,549,0
455,2,,,551,0
456,1,,,552,0
457,4,,,553,0
458,1,,,555,0
459,1,,,556,0
460,2,,,557,0
461,5,,,559,0
462,,3,,559,1
463,3,,,560,0
464,2,,,561,0
465,1,,,562,0
466,3,,,563,0
467,2,,,564,0
468,2,,,565,0
470,3,,,571,0
471,3,,,573,0
472,2,,,576,0
473,7,,,576,1
474,11,,,576,2
475,1,,,576,3
476,3,,,576,4
477,4,,,576,5
478,2,,,577,0
479,5,,,578,0
480,,1,,578,1
481,5,,,583,0
482,4,,,584,0
483,1,,,585,0
484,7,,,587,0
485,,3,,587,1
486,4,,,588,0
487,1,,,590,0
488,5,,,591,0
489,,3,,591,1
490,3,,,592,0
491,2,,,594,0
492,7,,,595,0
493,,3,,595,1
494,3,,,596,0
495,2,,,598,0
497,3,,,600,0
498,3,,,602,0
499,7,,,603,0
500,2,,,605,0
502,3,,,607,0
503,5,,,609,0
504,,3,,609,1
505,7,,,610,0
506,2,,,612,0
507,4,,,613,0
508,11,,,614,0
509,2,,,618,0
510,1,,,619,0
511,1,,,620,0
512,2,,,622,0
513,2,,,623,0
514,1,,,624,0
515,1,,,625,0
516,2,,,627,0
517,2,,,628,0
518,11,,,629,0
519,1,,,629,1
520,3,,,631,0
521,,3,,631,1
522,7,,,632,0
523,2,,,634,0
526,3,,,636,0
527,3,,,638,0
528,,3,,638,1
529,11,,,639,0
530,2,,,640,0
531,3,,,642,0
532,,3,,642,1
533,7,,,643,0
534,2,,,645,0
535,7,,,646,0
536,3,,,647,0
537,5,,,651,0
538,7,,,652,0
539,4,,,653,0
540,2,,,655,0
541,5,,,656,0
